station_id,station_name,source,lat,lon,altitude_m,start_date,end_date,source_file,has_coord
523,주문진,aws_hourly,37.8985,128.8214,8.94,2024-08-21,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
524,경포,aws_hourly,37.7863,128.8938,4.0,2024-08-20,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
525,봉평,aws_hourly,37.6123,128.3773,552.11,2023-11-01,2025-04-16,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
526,평창,aws_hourly,37.3775,128.3947,303.18,2024-08-30,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
527,신동,aws_hourly,37.2111,128.6413,392.43,2024-08-27,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
529,원덕,aws_hourly,37.1416,129.2859,36.07,2024-09-20,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
535,서석,aws_hourly,37.717,128.1827,313.5,2023-10-23,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
536,횡성,aws_hourly,37.4876,127.9724,114.35,2022-09-28,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
537,임계,aws_hourly,37.4832,128.8459,488.08,2023-10-13,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
552,김화,aws_hourly,38.2315,127.3894,229.5,2024-10-08,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
553,죽정,aws_hourly,38.457,128.4179,8.47,2024-09-06,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
554,미시령,aws_hourly,38.2144,128.4371,771.81,2020-10-17,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
555,화천,aws_hourly,38.0837,127.6906,109.21,2023-10-28,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
556,양구,aws_hourly,38.098,127.9853,187.57,2024-10-15,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
557,기린,aws_hourly,37.9537,128.3139,292.0,2022-09-24,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
558,팔봉,aws_hourly,37.6861,127.7007,94.64,2024-09-10,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
559,내면,aws_hourly,37.7781,128.3973,574.76,2024-09-08,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
560,진부,aws_hourly,37.6479,128.5645,540.54,2024-08-24,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
561,청일,aws_hourly,37.5822,128.1528,221.38,2024-09-04,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
563,북평,aws_hourly,37.4636,128.6828,362.87,2015-12-24,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
566,연곡,aws_hourly,37.8516,128.8192,6.53,2023-10-13,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
579,하장,aws_hourly,37.3668,128.9133,607.24,2020-10-21,2025-09-23,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
580,옥계,aws_hourly,37.6135,129.0289,58.41,2023-11-01,2025-09-18,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
581,상동,aws_hourly,37.1166,128.7744,422.1,2021-10-15,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
582,신림,aws_hourly,37.2315,128.0799,328.01,2020-01-03,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
583,안흥,aws_hourly,37.4646,128.1551,534.72,2015-07-13,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
585,신남,aws_hourly,37.96,128.0742,235.78,2023-11-01,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
586,북산,aws_hourly,38.0321,127.8769,225.91,2024-10-16,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
587,방산,aws_hourly,38.2264,127.9533,276.94,2024-10-15,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
588,남산,aws_hourly,37.7907,127.6429,83.37,2021-10-15,2025-10-17,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
591,치악산,aws_hourly,37.4155,128.0505,267.66,2020-01-03,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
592,부론,aws_hourly,37.2316,127.7487,52.7,2020-01-03,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
593,양양영덕,aws_hourly,38.0073,128.5407,128.31,2021-10-15,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
594,서화,aws_hourly,38.2533,128.21,316.0,2024-10-15,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
595,진부령,aws_hourly,38.2641,128.3742,586.53,2019-04-26,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
596,오색,aws_hourly,38.077,128.4933,240.99,2020-01-03,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
597,대화,aws_hourly,37.5455,128.4411,561.85,2015-07-13,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
650,양지,aws_hourly,38.2509,127.2714,187.0,2022-12-07,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
651,외촌,aws_hourly,38.2772,127.2057,216.03,2023-11-01,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
660,면온,aws_hourly,37.562,128.3776,533.47,2021-07-21,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
661,현내,aws_hourly,38.5425,128.4019,5.0,2021-12-18,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
670,양양,aws_hourly,38.0887,128.6295,7.0,2024-08-23,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
671,속초조양,aws_hourly,38.1922,128.5761,4.0,2024-09-07,2025-09-16,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
674,사북,aws_hourly,37.2196,128.8214,822.28,2017-01-13,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
675,남이섬,aws_hourly,37.7898,127.5277,52.21,2024-09-11,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
677,달방댐,aws_hourly,37.5173,129.0213,120.04,2021-10-15,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
678,강릉성산,aws_hourly,37.7248,128.7786,455.97,2020-10-23,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
679,강릉왕산,aws_hourly,37.6105,128.773,686.6,2020-10-23,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
680,평화,aws_hourly,38.2128,127.8447,230.65,2020-09-26,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
681,간동,aws_hourly,38.0512,127.7906,200.5,2024-10-15,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
682,임남,aws_hourly,38.2832,127.8625,1062.0,2024-10-15,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
695,광덕산,aws_hourly,38.1162,127.432,1050.39,2024-10-15,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
696,신기,aws_hourly,37.3466,129.0861,82.78,2021-07-16,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
874,동송,aws_hourly,38.1416,127.2197,163.22,2021-08-31,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
875,설악산,aws_hourly,38.1211,128.4606,1595.71,2020-10-08,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
876,삼척,aws_hourly,37.45,129.1621,57.07,2023-10-20,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
877,문막,aws_hourly,37.3134,127.8049,59.23,2021-09-15,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
878,도계,aws_hourly,37.2238,129.0961,817.04,2023-11-01,2025-09-24,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
970,철원장흥,aws_hourly,38.2016,127.2502,179.45,2024-10-15,,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
978,춘천신북,aws_hourly,37.9546,127.7763,140.37,2018-02-01,2025-10-01,data\raw\_inbox\META_관측지점정보_20260520101811-방재기상관측.csv,True
