pole_id,lon,lat
0,127.6183915665442,37.73219161824542
1,127.61785810600551,37.73200241667946
2,127.61734916901744,37.731836370695085
3,127.61680370009844,37.73166556920084
4,127.61628574539913,37.73150908971134
5,127.61573687476856,37.73135121411882
6,127.61520819159382,37.7312068345036
7,127.61466750734235,37.73106343293267
8,127.61411318544032,37.73092963021276
9,127.61355199510656,37.730803253006094
10,127.61301396343929,37.73069265231226
11,127.6124549999505,37.73058326893853
12,127.61190382085395,37.73048227178048
13,127.61136947248941,37.73039203142284
14,127.610808744492,37.730307029624726
15,127.61023642968844,37.73022847418813
16,127.6096975970876,37.73015960802695
17,127.60913735061357,37.73009707124284
18,127.60857172926448,37.73004236357029
19,127.60799043477816,37.729989354474085
20,127.6074381754046,37.72993946880168
21,127.60688682128325,37.72988967266775
22,127.60631154200136,37.72983772176062
23,127.60573060937195,37.72978324969708
24,127.60518584991632,37.72972842746158
25,127.60463221360544,37.72969552570122
26,127.60407762705356,37.72964361879921
27,127.60352349348437,37.72959189285742
28,127.6029796783927,37.729530973153096
29,127.6024336727909,37.72946024707263
30,127.60187686250757,37.72937917561664
31,127.60132276003148,37.72928762401608
32,127.60078302474805,37.729187462719175
33,127.6002262849753,37.729072579851454
34,127.59969979366144,37.72895311022594
35,127.59916897269603,37.728821580140334
36,127.59862155412512,37.72867387375218
37,127.59810879593655,37.72852394054672
38,127.59758378401288,37.728359329037815
39,127.59707072756488,37.72818713722422
40,127.59655005691116,37.728008811778544
41,127.59603325337385,37.72783755953651
42,127.59552836465124,37.7276725327046
43,127.59499030590248,37.7274845054652
44,127.594456359971,37.72730012580878
45,127.59395565692878,37.72712789128376
46,127.59344536231704,37.72695428634566
47,127.59291369413287,37.72677344545571
48,127.59238030068371,37.7265818924289
49,127.5918738973858,37.72640839655767
50,127.5913527687632,37.72623000400617
51,127.59081674487028,37.72604517871942
52,127.59029234558184,37.72586457998028
53,127.58977441716284,37.72568549486544
54,127.58924024426096,37.72550064333745
55,127.5887369787913,37.72532959691049
56,127.58820989287838,37.7251505561464
57,127.58770507249336,37.72497795438182
58,127.58717763462168,37.72479762045842
59,127.5866521887398,37.7246186332911
60,127.58614908156252,37.72444761450208
61,127.5856154651338,37.72426489672422
62,127.58509654709766,37.72408711448595
63,127.58455939327303,37.72390312297376
64,127.58403231627425,37.7237236644204
65,127.58352301382524,37.723551412740704
66,127.58299501278286,37.72335998631793
67,127.58248067532152,37.7231835343645
68,127.58194317247639,37.72299913379021
69,127.58141596613436,37.72281826887232
70,127.58089862290493,37.72264079314285
71,127.58036604500595,37.72245812615769
72,127.57986391729382,37.7222858699138
73,127.5793232002084,37.72210035199472
74,127.57879460100956,37.72191898592945
75,127.57826164139972,37.72173613482448
76,127.57773623205986,37.72155586368751
77,127.57722669591854,37.72138102251584
78,127.57668735888544,37.7211959628437
79,127.5761853793188,37.72102373072456
80,127.57566980235904,37.72084684447907
81,127.57513973097392,37.72066499192184
