pole_id,lon,lat,x_5179,y_5179,grid_ix,grid_iy,grid_id,pole_count,pole_density,grid_final_risk_score,grid_final_risk_score_100,grid_final_risk_grade,risk_mean,risk_max,risk_p95,risk_p90,high_day_count,very_high_day_count,high_day_ratio,peak_date,peak_grid_risk_score_100,peak_dry_weather_score,peak_wind_score,peak_asset_exposure_score,peak_warning_score,peak_temp_max,peak_humidity_min,peak_rain_sum,peak_rain_sum_7d,peak_wind_max,peak_wind_max_7d,peak_no_rain_days,peak_dry_warning_flag,peak_strong_wind_warning_flag,pole_risk_score,pole_risk_score_100,pole_risk_rank,pole_risk_percentile
1326212,128.4233892574649,38.08914295764144,1080973.721883267,2010293.205921351,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,1,7.2054882763103e-07
1326213,128.4228327869204,38.08905433445285,1080925.0206385201,2010282.8874885645,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,2,1.44109765526206e-06
1326214,128.42235186639837,38.08880535141,1080883.1212655692,2010254.8420600342,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,3,2.16164648289309e-06
1326215,128.42182188827897,38.088674847660414,1080836.7890454566,2010239.9002838477,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,4,2.88219531052412e-06
1326377,128.41243788236827,38.094737943923114,1080007.2560617349,2010904.517982839,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,5,3.60274413815515e-06
1326378,128.412819147117,38.09508846757457,1080040.30567639,2010943.7397019113,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,6,4.32329296578618e-06
1326379,128.41335238434658,38.09500496400722,1080087.1545301522,2010934.934145133,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,7,5.04384179341721e-06
1326380,128.41347027161035,38.09456013288366,1080097.977201022,2010885.6785782604,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,8,5.76439062104824e-06
1326381,128.4137045873655,38.094177971474814,1080118.940917611,2010843.4771360748,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,9,6.48493944867927e-06
1326382,128.4142207279978,38.0940184651091,1080164.3743033041,2010826.224200295,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,10,7.2054882763103e-06
