grid_id,pole_count,pole_density,center_lon,center_lat,risk_mean,risk_max,risk_p95,risk_p90,risk_std,date_count,high_day_count,very_high_day_count,dry_weather_mean,wind_mean,asset_exposure_mean,warning_mean,high_day_ratio,very_high_day_ratio,grid_final_risk_score,grid_final_risk_score_100,peak_date,peak_grid_risk_score,peak_grid_risk_score_100,peak_dry_weather_score,peak_wind_score,peak_asset_exposure_score,peak_warning_score,peak_temp_max,peak_humidity_min,peak_rain_sum,peak_rain_sum_7d,peak_wind_max,peak_wind_max_7d,peak_no_rain_days,peak_dry_warning_flag,peak_strong_wind_warning_flag,grid_final_risk_grade,sw_lon,sw_lat,ne_lon,ne_lat
1080_2010,86,86.0,128.4180110875035,38.09104882479918,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,0.10596268062166456,31,14,4,0.60661045943304,0.7924434419393547,0.6419682915357058,0.010271646859083192,0.45161290322580644,0.12903225806451613,0.6773260568458648,67.733,2025-03-11,0.7453633552768382,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,high,128.41225382180642,38.086587418282306,128.42376905298022,38.09550993689282
1081_2010,82,82.0,128.42941357693738,38.09095918998966,0.568894784019192,0.7435686897019718,0.7329187694467884,0.7172369512649702,0.10596268062166458,31,14,4,0.60661045943304,0.7924434419393547,0.6329949636613739,0.010271646859083192,0.45161290322580644,0.12903225806451613,0.6757108578284851,67.571,2025-03-11,0.7435686897019718,74.357,0.9174242424242424,1.0,0.6329949636613739,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,high,128.42365563676373,38.08649835090967,128.43517221687853,38.09541973447042
1128_1912,405,405.0,128.9480152545279,37.202467355917555,0.554036923169265,0.7518630733713044,0.7450511188168898,0.6664928258518145,0.10807099919531402,31,12,3,0.5511608015640274,0.5796065480316844,0.9356510925343527,0.010271646859083192,0.3870967741935484,0.0967741935483871,0.6734370293190757,67.344,2025-03-25,0.7518630733713044,75.186,0.7799242424242425,1.0,0.9356510925343527,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.94229684049975,37.198030455342796,128.95373433774634,37.20690396282811
1116_1924,356,356.0,128.8147044860334,37.31218290208434,0.549132793418207,0.7469589436202463,0.7401469890658317,0.6615886961007564,0.108070999195314,31,12,3,0.5511608015640274,0.5796065480316844,0.9111304437790625,0.010271646859083192,0.3870967741935484,0.0967741935483871,0.6690233125431235,66.902,2025-03-25,0.7469589436202463,74.696,0.7799242424242425,1.0,0.9111304437790625,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.80898519500906,37.3077396498824,128.82042445003484,37.31662586156624
1085_1909,487,487.0,128.46320005328425,37.180360798001935,0.5672525039290562,0.7657074310532036,0.7058050801774025,0.6855287798723593,0.09000025889386908,31,12,2,0.6116935483870968,0.5075588453674998,0.9707231310174005,0.010271646859083192,0.3870967741935484,0.06451612903225806,0.6671895571358782,66.719,2025-03-25,0.7657074310532036,76.571,0.8352272727272727,0.9388349514563107,0.9707231310174005,0.018421052631578946,22.5,18.0,0.0,0.0,11.5,11.5,7,0,0,high,128.45751114170224,37.17590000288901,128.468889633803,37.18482130708659
1086_1910,485,485.0,128.47457988340145,37.189281530011684,0.567095913957342,0.7655508410814894,0.7056484902056883,0.6853721899006451,0.0900002588938691,31,12,2,0.6116935483870968,0.5075588453674998,0.9699401811588294,0.010271646859083192,0.3870967741935484,0.06451612903225806,0.6670486261613354,66.705,2025-03-25,0.7655508410814894,76.555,0.8352272727272727,0.9388349514563107,0.9699401811588294,0.018421052631578946,22.5,18.0,0.0,0.0,11.5,11.5,7,0,0,high,128.468889633803,37.18482130708659,128.48027080222238,37.19374146664603
1109_1921,334,334.0,128.7352843928906,37.28599848056932,0.546707550391894,0.7445337005939333,0.7377217460395187,0.6591634530744434,0.10807099919531404,31,12,3,0.5511608015640274,0.5796065480316844,0.8990042286474973,0.010271646859083192,0.3870967741935484,0.0967741935483871,0.6668405938194418,66.684,2025-03-25,0.7445337005939333,74.453,0.7799242424242425,1.0,0.8990042286474973,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.72957169188427,37.281551248756266,128.7409977660872,37.29044542113907
1095_1904,436,436.0,128.57519946021054,37.134328543262434,0.563043673886568,0.7614986010107153,0.7015962501349142,0.681319949829871,0.0900002588938691,31,12,2,0.6116935483870968,0.5075588453674998,0.9496789808049588,0.010271646859083192,0.3870967741935484,0.06451612903225806,0.6634016100976388,66.34,2025-03-25,0.7614986010107153,76.15,0.8352272727272727,0.9388349514563107,0.9496789808049588,0.018421052631578946,22.5,18.0,0.0,0.0,11.5,11.5,7,0,0,high,128.56950761096778,37.12987313924553,128.58089197677873,37.1387836599903
1107_1925,419,419.0,128.71330586771342,37.32227953498212,0.5615307489905345,0.7599856761146818,0.7000833252388807,0.6798070249338375,0.0900002588938691,31,12,2,0.6116935483870968,0.5075588453674998,0.9421143563247913,0.010271646859083192,0.3870967741935484,0.06451612903225806,0.6620399776912086,66.204,2025-03-25,0.7599856761146818,75.999,0.8352272727272727,0.9388349514563107,0.9421143563247913,0.018421052631578946,22.5,18.0,0.0,0.0,11.5,11.5,7,0,0,high,128.7075916266031,37.31783129441317,128.7190207822417,37.326727484283374
1079_2010,70,70.0,128.40660854777565,38.0911373534039,0.5533565634373175,0.7376143427963517,0.7269644225411682,0.7112826043593502,0.11988088448040816,31,12,4,0.606322091886608,0.754569335308628,0.6032232291332736,0.010271646859083192,0.3870967741935484,0.12903225806451613,0.6619835579749503,66.198,2025-03-11,0.7376143427963517,73.761,0.9174242424242424,1.0,0.6032232291332736,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,high,128.4008519568792,38.086675379620694,128.4123658384637,38.095599032939866
