metric,pole_count
count,9908.0
mean,140.0717601937828
std,126.72232753943733
min,1.0
1%,2.0
5%,9.0
10%,19.0
25%,52.0
50%,105.0
75%,189.0
90%,305.3000000000011
95%,399.0
99%,568.0
max,1289.0
