grid_id,pole_count,pole_density,center_lon,center_lat,sw_lon,sw_lat,ne_lon,ne_lat
1020_1986,1289,1289.0,127.7331067871844,37.87809381206767,127.72740744311493,37.87359842220299,127.73880682402913,37.88258892027826
1020_1985,1276,1276.0,127.73307838888739,37.86908079257157,127.72737974361611,37.86458539219527,127.73877772662509,37.87357591138346
1021_1986,1170,1170.0,127.7444777569821,37.87807074849777,127.73877772662509,37.87357591138346,127.75017848011127,37.88256530378136
1116_1987,1121,1121.0,128.82473244446982,37.87988361208209,128.81896793203757,37.87544209938693,128.83049764902097,37.88432482619863
1116_1988,1054,1054.0,128.82489389889068,37.88889427419618,128.81912865834926,37.88445278929131,128.8306598318595,37.893335460428666
1019_1985,1025,1025.0,127.72170879166778,37.869102750817305,127.71601083268997,37.864606798043795,127.72740744311493,37.87359842220299
1115_1984,932,932.0,128.81288432846134,37.852978809841915,128.80712265383983,37.848536645201975,128.8186466942943,37.85742067635819
1019_1984,924,924.0,127.72168179065837,37.86008971038765,127.71598452986127,37.8555937472818,127.72737974361611,37.86458539219527
1122_1973,920,920.0,128.8905721912804,37.75294897142825,128.88481393162,37.74851047341124,128.89633113865256,37.757387171136514
1033_1965,906,906.0,127.87995799091718,37.68843461228847,127.87426444182682,37.683946152831275,127.88565222627679,37.69292278968823
1021_1984,892,892.0,127.7444182031889,37.86004471052881,127.73871957072797,37.855549852036795,127.75011752780449,37.86453928736955
1123_1974,891,891.0,128.90209077388076,37.76182507240256,128.89633113865256,37.757387171136514,128.9078510971092,37.766262675092904
1019_1986,887,887.0,127.72173580472017,37.87811577739738,127.71603714725009,37.87361983495755,127.72743515496843,37.88261143835971
1034_1966,871,871.0,127.89134714805621,37.69741068489796,127.88565222627679,37.69292278968823,127.8970427564059,37.70189829778503
1020_1984,867,867.0,127.7330500032509,37.86006775922418,127.7273520564661,37.855572348337674,127.73874864219341,37.86456288863594
1124_1975,854,854.0,128.91361210848206,37.77069997907408,128.9078510971092,37.766262675092904,128.91937380814363,37.77513698421252
1022_1986,849,849.0,127.7558487134954,37.878046586691504,127.75014799716284,37.87355230250273,127.76155012259689,37.882540588872985
1022_1983,839,839.0,127.75575524887189,37.85100753233098,127.75005662983226,37.846513215543936,127.76145455975441,37.85550156737999
1123_1973,792,792.0,128.90192069312604,37.752814505134864,128.89616178348848,37.74837657488813,128.90768029045756,37.7572521368996
1017_1992,790,790.0,127.69913948679348,37.93223436059852,127.69343800963215,37.92773737342913,127.70484165859472,37.9367310661059
1043_1943,774,774.0,127.9920677014538,37.48972432574515,127.9863827184634,37.48524106699773,127.99775336396524,37.49420730266191
1118_1981,767,767.0,128.8464850919749,37.8255617560547,128.8407236332183,37.82112121336005,128.8522472409684,37.83000200038519
1147_1939,767,767.0,129.16740920817173,37.44293065539714,129.16165950680377,37.43850527132231,129.17315958644323,37.447355740045886
1022_1987,767,767.0,127.75587989616557,37.88705957710106,127.75017848011127,37.88256530378136,127.76158200529777,37.89155356832368
1039_1927,753,753.0,127.94596543525815,37.3456878260257,127.94029414241592,37.341202151980454,127.95163740282078,37.35017322036786
1094_2023,752,752.0,128.57936607849055,38.20683720824939,128.5735898956269,38.20238407248328,128.5851429650199,38.21129004591524
1038_1927,751,751.0,127.93467547182642,37.34572984772259,127.92900484199284,37.34124362825841,127.9403467763859,37.35021578765734
1118_1983,741,741.0,128.84681273456638,37.84358307254914,128.84104982200495,37.839142586099484,128.85257633798,37.84802326044725
1040_1927,736,736.0,127.95725537495507,37.345644726943114,127.95158341941006,37.3411595984879,127.96292800521485,37.350129575521564
1040_1973,736,736.0,127.95979558225184,37.76025635239039,127.95409171088995,37.75577186786081,127.96550014229663,37.76474055291404
1122_1974,730,730.0,128.89074089632305,37.76195958211024,128.8849819113605,37.75752111289248,128.89650056930373,37.76639775292556
1019_1987,723,723.0,127.72176282982123,37.88712879012678,127.7160634735472,37.882632858022006,127.72746287918253,37.8916244406644
1040_1925,716,716.0,127.95714610735821,37.327617469571464,127.9514755246661,37.3231323132278,127.96281736416461,37.332102346216885
1119_1982,707,707.0,128.858010080344,37.83444194621787,128.8522472409684,37.83000200038519,128.86377361024668,37.838881593419
1035_1966,706,706.0,127.90269029016565,37.697372493819515,127.89699469252635,37.69288515024131,127.90838657437016,37.70185955489969
1039_1928,700,700.0,127.9460187558187,37.354701447931255,127.9403467763859,37.35021578765734,127.95169141027235,37.35918682841284
1094_2022,697,697.0,128.5792330305964,38.197826222370644,128.57345758077787,38.193373062641136,128.58500918376674,38.20227908409356
1121_1975,690,690.0,128.8795583474476,37.77110363844867,128.87379928773734,37.76666463006808,128.88531809550022,37.77554234850651
